Ticker,Company,Sector,Industry
DCH,Dauch Corporation,Consumer Discretionary,Automotive Parts & Equipment
DCOM,"Dime Community Bancshares, Inc.",Financials,Regional Banks
DEA,"Easterly Government Properties, Inc.",Real Estate,Office REITs
DEI,Douglas Emmett,Real Estate,Office REITs
DFH,"Dream Finders Homes, Inc.",Consumer Discretionary,Homebuilding
DFIN,"Donnelley Financial Solutions, Inc.",Financials,Financial Exchanges & Data
DGII,Digi International Inc.,Information Technology,Communications Equipment
DIOD,Diodes Incorporated,Information Technology,Semiconductors
DLX,Deluxe Corporation,Industrials,Commercial Printing
DNOW,NOW Inc,Industrials,Trading Companies & Distributors
DORM,"Dorman Products, Inc.",Consumer Discretionary,Automotive Parts & Equipment
DRH,DiamondRock Hospitality Company,Real Estate,Hotel & Resort REITs
DV,"DoubleVerify Holdings, Inc.",Communication Services,Advertising
DXC,DXC Technology,Information Technology,IT Consulting & Other Services
DXPE,"DXP Enterprises, Inc.",Industrials,Trading Companies & Distributors
EAT,"Brinker International, Inc.",Consumer Discretionary,Restaurants
ECG,"Everus Construction Group, Inc.",Industrials,Construction & Engineering
ECPG,"Encore Capital Group, Inc.",Financials,Consumer Finance
EFC,"Ellington Financial, Inc.",Financials,Specialized Finance
EGBN,Eagle Bancorp Inc,Financials,Regional Banks
EIG,"Employers Holdings, Inc.",Financials,Property & Casualty Insurance
EMBC,Embecta Corp.,Health Care,Health Care Equipment
EMN,Eastman Chemical Company,Materials,Specialty Chemicals
ENOV,Enovis,Health Care,Health Care Equipment
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment
ENR,Energizer,Consumer Staples,Household Products
ENVA,"Enova International, Inc.",Financials,Consumer Finance
EPAC,Enerpac Tool Group,Industrials,Industrial Machinery & Supplies & Components
EPC,Edgewell Personal Care,Consumer Staples,Household Products
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,Diversified REITs
ESE,ESCO Technologies Inc.,Industrials,Industrial Machinery & Supplies & Components
ESI,Element Solutions,Materials,Specialty Chemicals
ETD,"Ethan Allen Interiors, Inc.",Consumer Discretionary,Home Furnishings
ETSY,Etsy,Consumer Discretionary,Broadline Retail
EVTC,"EVERTEC, Inc.",Financials,Transaction & Payment Processing Services
EXPI,"eXp World Holdings, Inc.",Real Estate,Real Estate Services
EXTR,"Extreme Networks, Inc.",Information Technology,Communications Equipment
EYE,National Vision Holdings,Consumer Discretionary,Specialty Stores
EZPW,"EZCORP, Inc.",Financials,Consumer Finance
FBK,FB Financial Corp.,Financials,Regional Banks
FBNC,First Bancorp (Southern Pines NC),Financials,Regional Banks
FBP,First BanCorp (Puerto Rico),Financials,Regional Banks
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,Mortgage REITs
FCF,"First Commonwealth Financial, Corp.",Financials,Regional Banks
FCPT,"Four Corners Property Trust, Inc.",Real Estate,Other Specialized REITs
FDP,"Fresh Del Monte Produce, Inc.",Consumer Staples,Packaged Foods & Meats
FELE,Franklin Electric,Industrials,Industrial Machinery & Supplies & Components
FFBC,First Financial Bancorp.,Financials,Regional Banks
FHB,"First Hawaiian, Inc.",Financials,Regional Banks
FIBK,"First Interstate BancSystem, Inc.",Financials,Regional Banks
FIZZ,National Beverage Corp.,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
FORM,"FormFactor, Inc.",Information Technology,Semiconductor Materials & Equipment
FOXF,Fox Factory,Consumer Discretionary,Automotive Parts & Equipment
FRPT,Freshpet,Consumer Staples,Packaged Foods & Meats
FSS,Federal Signal Corporation,Industrials,Construction Machinery & Heavy Transportation Equipment
FTDR,"Frontdoor, Inc.",Consumer Discretionary,Specialized Consumer Services
FTRE,Fortrea,Health Care,Biotechnology
FUL,H.B. Fuller Company,Materials,Specialty Chemicals
FULT,Fulton Financial Corporation,Financials,Regional Banks
FUN,Six Flags,Consumer Discretionary,Leisure Facilities
FWRD,Forward Air Corp.,Industrials,Air Freight & Logistics
GBX,"The Greenbrier Companies, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment
GDEN,Golden Entertainment,Consumer Discretionary,Casinos & Gaming
GDYN,"Grid Dynamics Holdings, Inc.",Information Technology,IT Consulting & Other Services
GEO,"GEO Group, Inc.",Industrials,Environmental & Facilities Services
GFF,Griffon Corporation,Industrials,Building Products
GIII,"G-III Apparel Group, Ltd.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
GKOS,Glaukos Corp.,Health Care,Health Care Equipment
GNL,"Global Net Lease, Inc.",Real Estate,Diversified REITs
GNW,"Genworth Financial, Inc.",Financials,Multi-line Insurance
GO,Grocery Outlet,Consumer Staples,Food Retail
GOGO,"Gogo, Inc.",Communication Services,Wireless Telecommunication Services
GOLF,Acushnet Company,Consumer Discretionary,Leisure Products
GPI,"Group 1 Automotive, Inc.",Consumer Discretionary,Automotive Retail
GRBK,"Green Brick Partners, Inc.",Consumer Discretionary,Homebuilding
GSHD,"Goosehead Insurance, Inc.",Financials,Insurance Brokers
GTES,Gates Corporation,Industrials,Industrial Machinery & Supplies & Components
GTM,ZoomInfo,Communication Services,Interactive Media & Services
GTY,Getty Realty Corp.,Real Estate,Retail REITs
GVA,"Granite Construction, Inc.",Industrials,Construction & Engineering
HAFC,Hanmi Financial Corporation,Financials,Regional Banks
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Financials,Specialized Finance
HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Components & Equipment
HCC,"Warrior Met Coal, Inc.",Materials,Steel
HCI,"HCI Group, Inc.",Financials,Property & Casualty Insurance
HCSG,"Healthcare Services Group, Inc.",Industrials,Environmental & Facilities Services
HE,"Hawaiian Electric Industries, Inc.",Utilities,Electric Utilities
HFWA,Heritage Financial Corporation,Health Care,Regional Banks
HIW,Highwoods Properties,Real Estate,Office REITs
HLIT,Harmonic Inc.,Information Technology,Communications Equipment
HLX,"Helix Energy Solutions Group, Inc.",Energy,Oil & Gas Equipment & Services
HMN,Horace Mann Educators Corporation,Financials,Multi-line Insurance
HNI,HNI Corporation,Industrials,Office Services & Supplies
HOPE,"Hope Bancorp, Inc.",Financials,Regional Banks
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,Biotechnology
HSTM,"HealthStream, Inc.",Health Care,Health Care Technology
HTH,Hilltop Holdings Inc.,Financials,Regional Banks
HTLD,"Heartland Express, Inc.",Industrials,Cargo Ground Transportation
HTO,H2O America,Utilities,Water Utilities
HTZ,Hertz,Industrials,Passenger Ground Transportation
HUBG,"Hub Group, Inc.",Industrials,Air Freight & Logistics
HWKN,"Hawkins, Inc.",Materials,Commodity Chemicals
HZO,"MarineMax, Inc.",Consumer Discretionary,Specialty Stores
IAC,IAC Inc.,Communication Services,Publishing
IART,Integra Lifesciences Holdings,Health Care,Health Care Equipment
IBP,"Installed Building Products, Inc.",Consumer Discretionary,Homebuilding
ICHR,"Ichor Holdings, Ltd.",Information Technology,Semiconductor Materials & Equipment
ICUI,ICU Medical,Health Care,Health Care Supplies
IIIN,"Insteel Industries, Inc.",Industrials,Building Products
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,Industrial REITs
INDB,Independent Bank Corp.,Financials,Regional Banks
INDV,Indivior,Health Care,Pharmaceuticals
INSP,"Inspire Medical Systems, Inc.",Health Care,Health Care Equipment
INSW,"International Seaways, Inc.",Energy,Oil & Gas Storage & Transportation
INVA,"Innoviva, Inc.",Health Care,Pharmaceuticals
INVX,"Innovex International, Inc.",Energy,Oil & Gas Equipment & Services
IOSP,"Innospec, Inc.",Materials,Specialty Chemicals
IPAR,"Inter Parfums, Inc.",Consumer Staples,Household Products
IRDM,Iridium Communications,Communication Services,Alternative Carriers
ITGR,Integer Holdings Corporation,Health Care,Health Care Equipment
ITRI,"Itron, Inc.",Information Technology,Electronic Equipment & Instruments
JBGS,JBG Smith,Real Estate,Office REITs
JBLU,JetBlue,Industrials,Passenger Airlines
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,Packaged Foods & Meats
JBTM,JBT Marel Corporation,Industrials,Industrial Machinery & Supplies & Components
JJSF,J&J Snack Foods Corp.,Consumer Staples,Packaged Foods & Meats
JOE,St. Joe Company,Real Estate,Real Estate Development
JXN,"Jackson Financial, Inc.",Financials,Life & Health Insurance
KAI,Kadant Inc.,Industrials,Industrial Machinery & Supplies & Components
KALU,Kaiser Aluminum Corporation,Materials,Aluminum
OPLN,"OPENLANE, Inc.",Industrials,Diversified Support Services
KFY,Korn/Ferry International,Industrials,Human Resource & Employment Services
KGS,"Kodiak Gas Services, Inc.",Energy,Oil & Gas Equipment & Services
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,Semiconductor Materials & Equipment
KMPR,Kemper Corporation,Financials,Multi-line Insurance
KMT,Kennametal,Industrials,Industrial Machinery & Supplies & Components
KMX,"CarMax, Inc.",Consumer Discretionary,Automotive Retail
KN,Knowles Corporation,Information Technology,Electronic Components
KNTK,"Kinetik Holdings, Inc.",Energy,Oil & Gas Storage & Transportation
KOP,"Koppers Holdings, Inc.",Materials,Commodity Chemicals
KRYS,"Krystal Biotech, Inc.",Health Care,Biotechnology
KSS,Kohl's Corp.,Consumer Discretionary,Broadline Retail
KTB,Kontoor Brands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services
KWR,Quaker Chemical Corporation,Materials,Specialty Chemicals
LAUR,"Laureate Education, Inc.",Consumer Discretionary,Education Services
LBRT,"Liberty Energy, Inc.",Energy,Oil & Gas Equipment & Services
LCII,LCI Industries,Consumer Discretionary,Automotive Parts & Equipment
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings
LGIH,LGI Homes,Consumer Discretionary,Homebuilding
LIF,Life360,Information Technology,Application Software
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,Biotechnology
LKFN,Lakeland Financial,Financials,Regional Banks
LKQ,LKQ Corporation,Consumer Discretionary,Distributors
LMAT,LeMaitre Vascular,Health Care,Health Care Equipment
LNC,Lincoln Financial,Financials,Multi-line Insurance
LNN,Lindsay Corporation,Materials,Agricultural & Farm Machinery
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Storage & Transportation
LQDT,"Liquidity Services, Inc.",Industrials,Diversified Support Services
LRN,"Stride, Inc.",Consumer Discretionary,Education Services
LTC,"LTC Properties, Inc.",Real Estate,Health Care REITs
LTH,"Life Time Group Holdings, Inc.",Consumer Discretionary,Leisure Facilities
LUMN,Lumen Technologies,Communication Services,Alternative Carriers
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats
LXP,Lexington Realty Trust,Real Estate,Diversified REITs
LYFT,"Lyft, Inc.",Industrials,Passenger Ground Transportation
LZ,"LegalZoom.com, Inc.",Industrials,Research & Consulting Services
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,Home Furnishings
MAC,Macerich,Real Estate,Retail REITs
MAN,ManpowerGroup,Industrials,Human Resource & Employment Services
MARA,"MARA Holdings, Inc.",Information Technology,Internet Services & Infrastructure
MATW,Matthews International Corporation,Consumer Discretionary,Specialized Consumer Services
MATX,"Matson, Inc.",Industrials,Marine Transportation
MBC,"MasterBrand, Inc.",Industrials,Building Products
MBIN,Merchants Bancorp,Financials,Regional Banks
MC,Moelis & Company,Financials,Investment Banking & Brokerage
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,Casinos & Gaming
MCW,"Mister Car Wash, Inc.",Consumer Discretionary,Specialized Consumer Services
MCY,Mercury General,Financials,Property & Casualty Insurance
MD,Pediatrix Medical Group,Health Care,Health Care Services
MDU,"MDU Resources Group, Inc.",Utilities,Multi-Utilities
MGEE,"MGE Energy, Inc.",Utilities,Electric Utilities
MGY,"Magnolia Oil & Gas, Corp.",Energy,Oil & Gas Exploration & Production
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
MHO,"M/I Homes, Inc.",Consumer Discretionary,Homebuilding
MIR,"Mirion Technologies, Inc.",Information Technology,Electronic Equipment & Instruments
MKTX,MarketAxess,Financials,Financial Exchanges & Data
MLKN,"MillerKnoll, Inc.",Industrials,Office Services & Supplies
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services
MMSI,"Merit Medical Systems, Inc.",Health Care,Health Care Supplies
MNRO,"Monro, Inc.",Consumer Discretionary,Automotive Retail
MOH,Molina Healthcare,Health Care,Managed Health Care
MPT,Medical Properties Trust,Real Estate,Health Care REITs
MRCY,Mercury Systems,Industrials,Electrical Components & Equipment
MRP,"Millrose Properties, Inc.",Real Estate,Single-Family Residential REITs
MRTN,"Marten Transport, Ltd.",Industrials,Cargo Ground Transportation
MSEX,Middlesex Water Company,Utilities,Water Utilities
MSGS,Madison Square Garden Sports Corp.,Communication Services,Movies & Entertainment
MTCH,Match Group,Communication Services,Interactive Media & Services
MTH,Meritage Homes Corporation,Consumer Discretionary,Homebuilding
MTRN,Materion Corp.,Materials,Diversified Metals & Mining
MTUS,Metallus Inc,Materials,Steel
MTX,Minerals Technologies,Materials,Specialty Chemicals
MWA,Mueller Water Products,Industrials,Industrial Machinery & Supplies & Components
MXL,"MaxLinear, Inc.",Information Technology,Semiconductors
MYRG,"MYR Group, Inc.",Industrials,Construction & Engineering
NABL,"N-able, Inc.",Information Technology,Systems Software
NATL,NCR Atleos,Financials,Transaction & Payment Processing Services
NAVI,Navient,Financials,Consumer Finance
NBHC,National Bank Holdings Corporation,Financials,Regional Banks
NBTB,"NBT Bancorp, Inc.",Financials,Regional Banks
NE,Noble Corporation,Energy,Oil & Gas Drilling
NEO,"NeoGenomics Laboratories, Inc.",Health Care,Health Care Services
NEOG,Neogen,Health Care,Health Care Supplies
NGVT,"Ingevity, Corp.",Materials,Specialty Chemicals
NHC,"National Healthcare, Corp.",Health Care,Health Care Facilities
NMIH,"NMI Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance
NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas Exploration & Production
NPK,"National Presto Industries, Inc.",Industrials,Aerospace & Defense
NPO,"EnPro Industries, Inc.",Industrials,Industrial Machinery & Supplies & Components
NSIT,"Insight Enterprises, Inc.",Industrials,Technology Distributors
NSP,Insperity,Industrials,Human Resource & Employment Services
NSSC,Napco Security Technologies,Information Technology,Electronic Equipment & Instruments
NTCT,"NETSCOUT Systems, Inc.",Information Technology,Communications Equipment
NVRI,Enviri Corporation,Industrials,Industrial Machinery & Supplies & Components
NWBI,"Northwest Bancshares, Inc.",Financials,Regional Banks
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
NWN,NW Natural,Utilities,Gas Utilities
NX,Quanex Building Products Corporation,Industrials,Building Products
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,Multi-Family Residential REITs
OFG,OFG Bancorp,Financials,Regional Banks
OGN,Organon & Co.,Health Care,Pharmaceuticals
OI,"O-I Glass, Inc.",Materials,"Metal, Glass & Plastic Containers"
OII,"Oceaneering International, Inc.",Energy,Oil & Gas Equipment & Services
OMCL,Omnicell,Health Care,Health Care Technology
OSIS,"OSI Systems, Inc.",Information Technology,Electronic Equipment & Instruments
OSW,OneSpaWorld Holdings Limited,Consumer Discretionary,Leisure Facilities
OTTR,Otter Tail Corporation,Utilities,Electric Utilities
OUT,Outfront Media,Real Estate,Other Specialized REITs
OXM,"Oxford Industries, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
PAHC,Phibro Animal Health,Health Care,Pharmaceuticals
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing
PAYC,Paycom,Industrials,Human Resource & Employment Services
PAYO,Payoneer Global Inc.,Financials,Transaction & Payment Processing Services
PATK,"Patrick Industries, Inc.",Consumer Discretionary,Automotive Parts & Equipment
PBH,Prestige Consumer Healthcare,Health Care,Pharmaceuticals
PBI,"Pitney Bowes, Inc.",Industrials,Office Services & Supplies
PCRX,"Pacira BioSciences, Inc.",Health Care,Pharmaceuticals
PDFS,"PDF Solutions, Inc.",Information Technology,Semiconductor Materials & Equipment
PEB,Pebblebrook Hotel Trust,Real Estate,Hotel & Resort REITs
PECO,Phillips Edison & Company,Real Estate,Retail REITs
PENG,"Penguin Solutions, Inc.",Information Technology,Semiconductors
PENN,Penn Entertainment,Consumer Discretionary,Casinos & Gaming
PFBC,Preferred Bank,Financials,Regional Banks
PFS,"Provident Financial Services, Inc.",Financials,Regional Banks
PGNY,Progyny,Health Care,Health Care Services
PHIN,"PHINIA, Inc.",Consumer Discretionary,Automotive Retail
PI,"Impinj, Inc.",Information Technology,Electronic Equipment & Instruments
PIPR,Piper Sandler Companies,Financials,Investment Banking & Brokerage
PJT,"PJT Partners, Inc.",Financials,Investment Banking & Brokerage
PLAB,"Photronics, Inc.",Information Technology,Semiconductor Materials & Equipment
PLMR,"Palomar Holdings, Inc.",Financials,Property & Casualty Insurance
PLUS,"ePlus, Inc.",Information Technology,Technology Distributors
PLXS,Plexus Corp.,Information Technology,Electronic Manufacturing Services
PMT,PennyMac Mortgage Investment Trust,Real Estate,Mortgage REITs
POWI,Power Integrations,Information Technology,Semiconductors
POWL,"Powell Industries, Inc.",Industrials,Electrical Components & Equipment
PRA,ProAssurance Corporation,Financials,Property & Casualty Insurance
PRAA,"PRA Group, Inc.",Financials,Consumer Finance
PRDO,Perdoceo Education Corp.,Consumer Discretionary,Education Services
PRG,"PROG Holdings, Inc.",Financials,Consumer Finance
PRGO,Perrigo,Health Care,Pharmaceuticals
PRGS,Progress Software Corporation,Information Technology,Systems Software
PRIM,Primoris Services Corporation,Industrials,Construction & Engineering
PRK,Park National Corp.,Financials,Regional Banks
PRKS,United Parks & Resorts,Consumer Discretionary,Leisure Facilities
PRLB,Protolabs,Industrials,Industrial Machinery & Supplies & Components
PRSU,"Pursuit Attractions & Hospitality, Inc.",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
PRVA,"Privia Health Group, Inc.",Health Care,Health Care Services
PSMT,PriceSmart,Consumer Staples,Consumer Staples Merchandise Retail
PTCT,"PTC Therapeutics, Inc.",Health Care,Pharmaceuticals
PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Drilling
PTGX,"Protagonist Therapeutics, Inc.",Health Care,Biotechnology
PZZA,Papa John's Pizza,Consumer Discretionary,Restaurants
QDEL,QuidelOrtho,Health Care,Health Care Supplies
QNST,"QuinStreet, Inc.",Communication Services,Interactive Media & Services
QRVO,Qorvo,Information Technology,Semiconductors
QTWO,"Q2 Holdings, Inc.",Information Technology,Application Software
RAMP,"LiveRamp Holdings, Inc.",Information Technology,Application Software
RAL,Ralliant Corp,Information Technology,Electronic Equipment & Instruments
RCUS,"Arcus Biosciences, Inc.",Health Care,Biotechnology
RDN,"Radian Group, Inc.",Financials,Property & Casualty Insurance
RDNT,"RadNet, Inc.",Health Care,Health Care Services
RES,"RPC, Inc.",Energy,Oil & Gas Equipment & Services
REYN,Reynolds Consumer Products,Consumer Staples,Household Products
REX,REX American Resources Corporation,Energy,Oil & Gas Refining & Marketing
REZI,"Resideo Technologies, Inc.",Industrials,Trading Companies & Distributors
RHI,Robert Half,Industrials,Human Resource & Employment Services
RHP,Ryman Hospitality Properties,Real Estate,Hotel & Resort REITs
RITM,Rithm Capital,Financials,Mortgage REITs
RNG,"RingCentral, Inc.",Information Technology,Application Software
RNST,Renasant Corp.,Financials,Regional Banks
ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products
ROG,Rogers Corporation,Information Technology,Electronic Components
RRR,"Red Rock Resorts, Inc.",Consumer Discretionary,Casinos & Gaming
RUN,Sunrun,Industrials,Building Products
